Latitude,Longitude,Metric,Year,Value
-0.221487783,35.29899496,Incidence Rate,2017,20.47772706
-0.221487783,35.29899496,Incidence Rate,2018,27.86063589
-0.221487783,35.29899496,Incidence Rate,2019,39.78313878
-0.221487783,35.29899496,Incidence Rate,2020,53.91307548
-0.221487783,35.29899496,Incidence Rate,2021,64.55468386
-0.221487783,35.29899496,Incidence Rate,2022,65.11131674
-0.221487783,35.29899496,Incidence Rate,2023,64.24827874
-0.221487783,35.29899496,Incidence Rate,2024,62.60637939
-0.221487783,35.29899496,Infection Prevalence,2000,18.62179041
-0.221487783,35.29899496,Infection Prevalence,2001,26.52891278
-0.221487783,35.29899496,Infection Prevalence,2002,27.90851593
-0.221487783,35.29899496,Infection Prevalence,2003,32.01728165
-0.221487783,35.29899496,Infection Prevalence,2004,27.04631686
-0.221487783,35.29899496,Infection Prevalence,2005,15.45829624
-0.221487783,35.29899496,Infection Prevalence,2006,5.799401551
-0.221487783,35.29899496,Infection Prevalence,2007,1.984870993
-0.221487783,35.29899496,Infection Prevalence,2008,1.202547457
-0.221487783,35.29899496,Infection Prevalence,2009,1.440032478
-0.221487783,35.29899496,Infection Prevalence,2010,2.079093084
-0.221487783,35.29899496,Infection Prevalence,2011,2.506243438
-0.221487783,35.29899496,Infection Prevalence,2012,2.492331341
-0.221487783,35.29899496,Infection Prevalence,2013,2.19701454
-0.221487783,35.29899496,Infection Prevalence,2014,1.761478931
-0.221487783,35.29899496,Infection Prevalence,2015,1.28054684
-0.221487783,35.29899496,Infection Prevalence,2016,0.947160274
-0.221487783,35.29899496,Infection Prevalence,2017,1.020164229
-0.221487783,35.29899496,Infection Prevalence,2018,1.414892543
-0.221487783,35.29899496,Infection Prevalence,2019,2.083394863
-0.221487783,35.29899496,Infection Prevalence,2020,2.910540998
-0.221487783,35.29899496,Infection Prevalence,2021,3.654341027
-0.221487783,35.29899496,Infection Prevalence,2022,3.867552802
-0.221487783,35.29899496,Infection Prevalence,2023,3.861466795
-0.221487783,35.29899496,Infection Prevalence,2024,3.75777781
-0.221487783,35.29899496,Mortality Rate,2000,34.2858868
-0.221487783,35.29899496,Mortality Rate,2001,40.11102719
-0.221487783,35.29899496,Mortality Rate,2002,38.6353815
-0.221487783,35.29899496,Mortality Rate,2003,38.6279251
-0.221487783,35.29899496,Mortality Rate,2004,32.15497418
-0.221487783,35.29899496,Mortality Rate,2005,26.51908435
-0.221487783,35.29899496,Mortality Rate,2006,22.63993374
-0.221487783,35.29899496,Mortality Rate,2007,19.89595621
-0.221487783,35.29899496,Mortality Rate,2008,18.33537244
-0.221487783,35.29899496,Mortality Rate,2009,16.74021769
-0.221487783,35.29899496,Mortality Rate,2010,11.38047592
-0.221487783,35.29899496,Mortality Rate,2011,7.141909009
-0.221487783,35.29899496,Mortality Rate,2012,6.73080649
-0.221487783,35.29899496,Mortality Rate,2013,10.79241993
-0.221487783,35.29899496,Mortality Rate,2014,11.75296275
-0.221487783,35.29899496,Mortality Rate,2015,9.581162158
-0.221487783,35.29899496,Mortality Rate,2016,7.307156193
-0.221487783,35.29899496,Mortality Rate,2017,2.260301699
-0.221487783,35.29899496,Mortality Rate,2018,2.37539607
-0.221487783,35.29899496,Mortality Rate,2019,2.507440331
-0.221487783,35.29899496,Mortality Rate,2020,3.050383202
-0.221487783,35.29899496,Mortality Rate,2021,3.086584547
-0.221487783,35.29899496,Mortality Rate,2022,2.825267256
-0.221487783,35.29899496,Mortality Rate,2023,2.29059242
-0.221487783,35.29899496,Mortality Rate,2024,2.223713636
