Latitude,Longitude,Metric,Year,Value
6.406488046,2.358531419,Incidence Rate,2023,285.6353819
6.406488046,2.358531419,Incidence Rate,2024,287.628293
6.406488046,2.358531419,Infection Prevalence,2000,41.26199186
6.406488046,2.358531419,Infection Prevalence,2001,42.54135191
6.406488046,2.358531419,Infection Prevalence,2002,41.11564159
6.406488046,2.358531419,Infection Prevalence,2003,36.97107732
6.406488046,2.358531419,Infection Prevalence,2004,34.59955752
6.406488046,2.358531419,Infection Prevalence,2005,31.82260692
6.406488046,2.358531419,Infection Prevalence,2006,26.3982147
6.406488046,2.358531419,Infection Prevalence,2007,22.41421342
6.406488046,2.358531419,Infection Prevalence,2008,20.21600306
6.406488046,2.358531419,Infection Prevalence,2009,21.69930041
6.406488046,2.358531419,Infection Prevalence,2010,24.2891565
6.406488046,2.358531419,Infection Prevalence,2011,23.15668315
6.406488046,2.358531419,Infection Prevalence,2012,19.61612254
6.406488046,2.358531419,Infection Prevalence,2013,16.60756916
6.406488046,2.358531419,Infection Prevalence,2014,15.53581804
6.406488046,2.358531419,Infection Prevalence,2015,16.60108864
6.406488046,2.358531419,Infection Prevalence,2016,19.21444535
6.406488046,2.358531419,Infection Prevalence,2017,20.75264156
6.406488046,2.358531419,Infection Prevalence,2018,22.81839401
6.406488046,2.358531419,Infection Prevalence,2019,24.82810169
6.406488046,2.358531419,Infection Prevalence,2020,25.34349859
6.406488046,2.358531419,Infection Prevalence,2021,27.69410014
6.406488046,2.358531419,Infection Prevalence,2022,27.88912654
6.406488046,2.358531419,Infection Prevalence,2023,24.4394809
6.406488046,2.358531419,Infection Prevalence,2024,24.79137033
6.406488046,2.358531419,Mortality Rate,2000,46.98152188
6.406488046,2.358531419,Mortality Rate,2001,52.45335633
6.406488046,2.358531419,Mortality Rate,2002,55.90570509
6.406488046,2.358531419,Mortality Rate,2003,59.17288363
6.406488046,2.358531419,Mortality Rate,2004,64.83830512
6.406488046,2.358531419,Mortality Rate,2005,67.25844578
6.406488046,2.358531419,Mortality Rate,2006,66.21258799
6.406488046,2.358531419,Mortality Rate,2007,65.99503104
6.406488046,2.358531419,Mortality Rate,2008,63.93381045
6.406488046,2.358531419,Mortality Rate,2009,61.46505475
6.406488046,2.358531419,Mortality Rate,2010,57.37627507
6.406488046,2.358531419,Mortality Rate,2011,51.60082947
6.406488046,2.358531419,Mortality Rate,2012,49.36949699
6.406488046,2.358531419,Mortality Rate,2013,47.32447851
6.406488046,2.358531419,Mortality Rate,2014,45.2895707
6.406488046,2.358531419,Mortality Rate,2015,47.02823644
6.406488046,2.358531419,Mortality Rate,2016,47.26146872
6.406488046,2.358531419,Mortality Rate,2017,33.51328196
6.406488046,2.358531419,Mortality Rate,2018,34.19688728
6.406488046,2.358531419,Mortality Rate,2019,31.70032869
6.406488046,2.358531419,Mortality Rate,2020,32.95020433
6.406488046,2.358531419,Mortality Rate,2021,33.33110362
6.406488046,2.358531419,Mortality Rate,2022,32.40018559
6.406488046,2.358531419,Mortality Rate,2023,30.23257304
6.406488046,2.358531419,Mortality Rate,2024,29.87145854
