Latitude,Longitude,Metric,Year,Value
5.638029907,0.017869735,Incidence Rate,2017,126.8515289
5.638029907,0.017869735,Incidence Rate,2018,121.2245747
5.638029907,0.017869735,Incidence Rate,2019,123.6145422
5.638029907,0.017869735,Incidence Rate,2020,136.2690926
5.638029907,0.017869735,Incidence Rate,2021,153.2414854
5.638029907,0.017869735,Incidence Rate,2022,156.0927331
5.638029907,0.017869735,Incidence Rate,2023,125.4876107
5.638029907,0.017869735,Incidence Rate,2024,122.1765727
5.638029907,0.017869735,Infection Prevalence,2000,39.58778083
5.638029907,0.017869735,Infection Prevalence,2001,32.90578127
5.638029907,0.017869735,Infection Prevalence,2002,25.17408133
5.638029907,0.017869735,Infection Prevalence,2003,16.62649661
5.638029907,0.017869735,Infection Prevalence,2004,11.23603061
5.638029907,0.017869735,Infection Prevalence,2005,8.599487692
5.638029907,0.017869735,Infection Prevalence,2006,7.351889461
5.638029907,0.017869735,Infection Prevalence,2007,7.460793853
5.638029907,0.017869735,Infection Prevalence,2008,8.136294782
5.638029907,0.017869735,Infection Prevalence,2009,9.017964453
5.638029907,0.017869735,Infection Prevalence,2010,10.1682134
5.638029907,0.017869735,Infection Prevalence,2011,11.60207838
5.638029907,0.017869735,Infection Prevalence,2012,13.02087307
5.638029907,0.017869735,Infection Prevalence,2013,13.82775009
5.638029907,0.017869735,Infection Prevalence,2014,13.10903132
5.638029907,0.017869735,Infection Prevalence,2015,11.06886417
5.638029907,0.017869735,Infection Prevalence,2016,9.014549106
5.638029907,0.017869735,Infection Prevalence,2017,7.888478041
5.638029907,0.017869735,Infection Prevalence,2018,7.424931973
5.638029907,0.017869735,Infection Prevalence,2019,7.668296993
5.638029907,0.017869735,Infection Prevalence,2020,8.812057227
5.638029907,0.017869735,Infection Prevalence,2021,10.49569622
5.638029907,0.017869735,Infection Prevalence,2022,10.84162295
5.638029907,0.017869735,Infection Prevalence,2023,8.026409149
5.638029907,0.017869735,Infection Prevalence,2024,7.764995843
5.638029907,0.017869735,Mortality Rate,2000,31.25050862
5.638029907,0.017869735,Mortality Rate,2001,31.49252152
5.638029907,0.017869735,Mortality Rate,2002,31.81140928
5.638029907,0.017869735,Mortality Rate,2003,32.19813516
5.638029907,0.017869735,Mortality Rate,2004,31.38686297
5.638029907,0.017869735,Mortality Rate,2005,29.69325578
5.638029907,0.017869735,Mortality Rate,2006,28.34905463
5.638029907,0.017869735,Mortality Rate,2007,29.13578646
5.638029907,0.017869735,Mortality Rate,2008,29.1712
5.638029907,0.017869735,Mortality Rate,2009,28.94036879
5.638029907,0.017869735,Mortality Rate,2010,27.9715372
5.638029907,0.017869735,Mortality Rate,2011,26.25057823
5.638029907,0.017869735,Mortality Rate,2012,24.8474651
5.638029907,0.017869735,Mortality Rate,2013,23.31645956
5.638029907,0.017869735,Mortality Rate,2014,21.67832281
5.638029907,0.017869735,Mortality Rate,2015,19.06164543
5.638029907,0.017869735,Mortality Rate,2016,17.0966654
5.638029907,0.017869735,Mortality Rate,2017,7.940686919
5.638029907,0.017869735,Mortality Rate,2018,7.362382894
5.638029907,0.017869735,Mortality Rate,2019,7.155013009
5.638029907,0.017869735,Mortality Rate,2020,7.780966553
5.638029907,0.017869735,Mortality Rate,2021,7.629067113
5.638029907,0.017869735,Mortality Rate,2022,7.436826854
5.638029907,0.017869735,Mortality Rate,2023,7.15226779
5.638029907,0.017869735,Mortality Rate,2024,7.024646038
