Latitude,Longitude,Metric,Year,Value
13.06964335,-7.071818363,Incidence Rate,2016,210.7453644
13.06964335,-7.071818363,Incidence Rate,2017,183.9888841
13.06964335,-7.071818363,Incidence Rate,2018,258.4817111
13.06964335,-7.071818363,Incidence Rate,2019,347.9010165
13.06964335,-7.071818363,Incidence Rate,2020,397.5355029
13.06964335,-7.071818363,Incidence Rate,2021,369.6003556
13.06964335,-7.071818363,Incidence Rate,2022,349.9011695
13.06964335,-7.071818363,Incidence Rate,2023,334.6447945
13.06964335,-7.071818363,Incidence Rate,2024,333.6390257
13.06964335,-7.071818363,Infection Prevalence,2000,49.77463782
13.06964335,-7.071818363,Infection Prevalence,2001,53.11788917
13.06964335,-7.071818363,Infection Prevalence,2002,55.68733215
13.06964335,-7.071818363,Infection Prevalence,2003,57.2684586
13.06964335,-7.071818363,Infection Prevalence,2004,57.73028135
13.06964335,-7.071818363,Infection Prevalence,2005,56.78701401
13.06964335,-7.071818363,Infection Prevalence,2006,54.51527834
13.06964335,-7.071818363,Infection Prevalence,2007,51.1205256
13.06964335,-7.071818363,Infection Prevalence,2008,42.92778969
13.06964335,-7.071818363,Infection Prevalence,2009,34.64286029
13.06964335,-7.071818363,Infection Prevalence,2010,39.10304308
13.06964335,-7.071818363,Infection Prevalence,2011,47.76590765
13.06964335,-7.071818363,Infection Prevalence,2012,51.519382
13.06964335,-7.071818363,Infection Prevalence,2013,49.22577739
13.06964335,-7.071818363,Infection Prevalence,2014,40.72365463
13.06964335,-7.071818363,Infection Prevalence,2015,26.37285292
13.06964335,-7.071818363,Infection Prevalence,2016,13.57272714
13.06964335,-7.071818363,Infection Prevalence,2017,11.25174463
13.06964335,-7.071818363,Infection Prevalence,2018,17.98420101
13.06964335,-7.071818363,Infection Prevalence,2019,27.49972045
13.06964335,-7.071818363,Infection Prevalence,2020,32.9601109
13.06964335,-7.071818363,Infection Prevalence,2021,29.98487651
13.06964335,-7.071818363,Infection Prevalence,2022,28.07415426
13.06964335,-7.071818363,Infection Prevalence,2023,27.03150213
13.06964335,-7.071818363,Infection Prevalence,2024,26.97324753
13.06964335,-7.071818363,Mortality Rate,2000,545.2258047
13.06964335,-7.071818363,Mortality Rate,2001,537.3630673
13.06964335,-7.071818363,Mortality Rate,2002,586.5451414
13.06964335,-7.071818363,Mortality Rate,2003,576.3150752
13.06964335,-7.071818363,Mortality Rate,2004,543.5199942
13.06964335,-7.071818363,Mortality Rate,2005,519.7110586
13.06964335,-7.071818363,Mortality Rate,2006,487.9376385
13.06964335,-7.071818363,Mortality Rate,2007,433.3736841
13.06964335,-7.071818363,Mortality Rate,2008,427.5719635
13.06964335,-7.071818363,Mortality Rate,2009,410.1575818
13.06964335,-7.071818363,Mortality Rate,2010,392.6567733
13.06964335,-7.071818363,Mortality Rate,2011,399.8238593
13.06964335,-7.071818363,Mortality Rate,2012,434.7593989
13.06964335,-7.071818363,Mortality Rate,2013,440.4114559
13.06964335,-7.071818363,Mortality Rate,2014,414.4098144
13.06964335,-7.071818363,Mortality Rate,2015,355.3301562
13.06964335,-7.071818363,Mortality Rate,2016,312.1902468
13.06964335,-7.071818363,Mortality Rate,2017,134.4184391
13.06964335,-7.071818363,Mortality Rate,2018,127.3057424
13.06964335,-7.071818363,Mortality Rate,2019,131.7863003
13.06964335,-7.071818363,Mortality Rate,2020,145.060569
13.06964335,-7.071818363,Mortality Rate,2021,118.710706
13.06964335,-7.071818363,Mortality Rate,2022,122.1348997
13.06964335,-7.071818363,Mortality Rate,2023,121.781684
13.06964335,-7.071818363,Mortality Rate,2024,121.976377
